AI,Industry,Status,Facility,sic,Facility Name,Physical Address,Municipality,County,State,Zip,Latitude,Longitude,NO_tpy,CO_tpy,VOC_tpy,PM10_tpy,SO2_tpy
2,MINING-Screening Plant,Active,No Permit Required,1211,"Misc NPRs, NOIs, Permits otherwise not in Tempo",12 miles NW Quemado,Quemado,Catron,NM,87829,34.499884,-108.60388,,,,4,
3,CON-Concrete Batch Plant,Active,Notice of Intent,3273,Derrick Construction - Concrete Batch Plant,1 mile E of Luna,Luna,Catron,NM,87824,33.820546,-108.925531,,,,,
5,O&G-Compressor Station,Active,No Permit Required,4922,Roundtop Compressor Station,12 miles NW of Roswell,Roswell,Chaves,NM,88201,33.725577,-104.617942,,,,,
6,O&G-Compressor Station,Active,Major-Title V ,4922,Roswell Compressor Station,23 mi N of Roswell,Roswell,Chaves,NM,88201,33.711917,-104.5495,236.4,236.4,58.3,15.6,5.1
8,O&G-Compressor Station,Active,Minor,1311,IACX - Comanche Compressor Station,19.1 mi NE of Roswell,Roswell,Chaves,NM,88202,33.665391,-104.292592,32.48,32.48,21.04,.14,.04
15,O&G-Compressor Station,Active,Synthetic Minor,4922,Red Bluff No1 Compressor Station,25 miles NE of Roswell,Roswell,Chaves,NM,88201,33.646994,-104.369207,98.2,68.7,41.2,,
18,O&G-Compressor Station,Active,Synthetic Minor,4922,Red Bluff No2 Compressor Station,24 mi NE of Roswell,Roswell,Chaves,NM,88201,33.664206,-104.384181,82.93,82.93,76.4,,3
19,O&G-Compressor Station,Active,Major-Title V ,4922,IACX - Red Bluff No3 Compressor Station,23 mi NE of Roswell,Roswell,Chaves,NM,88201,33.720833,-104.387019,139.7,129.2,81.4,1.7,7.1
22,O&G-Compressor Station,Active,Notice of Intent,4922,Red Bluff No6 Compressor Station,27.5 miles NE of Roswell,Roswell,Chaves,NM,88201,33.853611,-104.370556,19.7,14.7,13.7,,
26,MFG-Nonmetallic Materials,Active,No Permit Required,3089,Creative Pultrusions,Indust Air Center,Roswell,Chaves,NM,88201,33.318434,-104.511233,,,17.00,,
29,O&G-Compressor Station,Active,No Permit Required,4922,Longo Compressor Station,31 miles NE of Roswell,Roswell,Chaves,NM,88201,33.568925,-104.015342,14.9,1,,,
33,O&G-Gas Plant,Active,Synthetic Minor,1311,Pathfinder Amine,28 miles E of Roswell,Roswell,Chaves,NM,88220,33.42865,-104.198701,57.4,18.4,40.1,,94.4
35,O&G-Compressor Station,Active,Synthetic Minor,4619,White Lakes Pump Station,35 miles ENE of Roswell,Roswell,Chaves,NM,88201,33.536235,-103.987714,69.2,86.1,36.9,3.4,
36,O&G-Gas Plant,Active,Minor,4613,Mid America Pipeline Company LLC - Mesa Pump Station,36.25 miles N of Roswell,Roswell,Chaves,NM,88201,33.966255,-104.580071,92.8,70.0,18.4,,
37,FOOD-Processor,Active,Synthetic Minor,2022,Leprino Foods Company,5600 Omaha Rd,Roswell,Chaves,NM,88203,33.331854,-104.484299,81.0,97.7,12.9,9.63,0.7
40,MINING-Rock Crusher,Active,Synthetic Minor,1422,United Materials - Aggregate Facility No1 GCP2-0997,20.5 mi W of Jal,Jal,Lea,NM,88252    ,32.388194,-104.242167,21.5,5.1,1.9,15.9,1.6
48,MINING-Rock Crusher,Active,Synthetic Minor,1442,Roswell (City of) - 150TPH El Jay,425 N Richardson,Roswell,Chaves,NM,882021838,,,,,,15.90,
49,MFG-Nonmetallic Materials,Active,Synthetic Minor,3231,Christmas By Krebs,3911 S Main Street,Roswell,Chaves,NM,88203    ,33.318557,-104.543459,,,89.63,0.06,
51,O&G-Compressor Station,Active,Minor,4922,"Lucid Artesia - Buffalo Valley Compressor Station, GCP4-1907",8.2 miles ESE of Hagerman,Hagerman,Chaves,NM,88232,33.075833,-104.195,30.6,26.0,21.8,,
