Well Name,Ogrid Name,Well Spud Date,Well Status,Well API,Well Latitude,Well Longitude,Well Cluster,Facility Name,Facility Latitude,Facility Longitude,Facility Industry,Facility AI Number,Facility NOI Number,Date NOI Sent to NMED,Date NMED Received NOI,Date NMED Send Complete NOI To Company,Google Drive Link to NOI,Facility NO_TPY,Facility CO_TPY,Facility VOC_TPY,Facility PM10_TPY,Facility SO2_TPY,Potential Violation
JACKSON COM #001N,HILCORP ENERGY COMPANY,12/11/2014,Active,30-045-35415,36.6739922,-107.8030624,8,Hilcorp - Jackson Com 1N,36.673889,-107.8025,O&G-Well Head,31358,4747,,4/24/2012,4/24/2012,https://drive.google.com/file/d/1pnxyHzSnKTYV-HdUSaqC4sLKDXrOWEM2/view?usp=sharing,,,,,,No
BLANCO WASH FEDERAL #003M,HILCORP ENERGY COMPANY,4/8/2013,Active,30-045-35250,36.6355095,-107.7797089,130,Hilcorp - Blanco Wash Federal 3M,36.635556,-107.779167,O&G-Well Head,31360,4748,,4/24/2012,4/24/2012,https://drive.google.com/file/d/1pnxyHzSnKTYV-HdUSaqC4sLKDXrOWEM2/view?usp=sharing,,,,,,No
HUERFANITO UNIT #098N,HILCORP ENERGY COMPANY,11/21/2011,Active,30-045-35262,36.528862,-107.7505646,95,Hilcorp - Huerfanito Unit 98N,36.528889,-107.749886,O&G-Well Head,31347,4753,4/16/2012,4/19/2012,5/7/2012,https://drive.google.com/file/d/1RM0zkr7sP4u_2Ze3B8QRQE71laOxZRH6/view?usp=sharing,,,,,,Yes
HUERFANITO UNIT #099E,HILCORP ENERGY COMPANY,3/15/2012,Active,30-045-35257,36.5342255,-107.7622604,89,Hilcorp - Huerfanito Unit 99E,36.534167,-107.761667,O&G-Well Head,31348,4754,4/18/2012,4/19/2012,5/7/2012,https://drive.google.com/file/d/1RM0zkr7sP4u_2Ze3B8QRQE71laOxZRH6/view?usp=sharing,,,,,,Yes
SADIE WEST #002M,HILCORP ENERGY COMPANY,2/23/2012,Active,30-045-35305,36.8809128,-108.105629,19,Hilcorp - Sadie West 2M,36.880833,-108.105,O&G-Well Head,31349,4755,4/13/2012,4/19/2012,5/7/2012,https://drive.google.com/file/d/1RM0zkr7sP4u_2Ze3B8QRQE71laOxZRH6/view?usp=sharing,,,,,,Yes
KESSLER COM #003P,HILCORP ENERGY COMPANY,8/31/2012,Active,30-045-35382,36.7791977,-107.9380798,119,Hilcorp - Compressor Station No355,36.778047,-107.93914,O&G-Compressor Station,1305,1582M3,1/17/2012,1/18/2012,2/16/2012,https://drive.google.com/file/d/1upMjGWwi6FdrZwLfNo0fQuAOPzcn0SJq/view?usp=sharing,31.8,31.2,39.2,0.6,,No
KESSLER COM #003P,HILCORP ENERGY COMPANY,8/31/2012,Active,30-045-35382,36.7791977,-107.9380798,119,Hilcorp - Compressor Station No355,36.778047,-107.93914,O&G-Compressor Station,1305,1582M2,3/9/2010,3/22/2010,3/22/2010,https://drive.google.com/file/d/1LZreRyEE2epVKa8ZnnAm0VSYZxWL-QY9/view?usp=sharing,31.8,31.2,39.2,0.6,,No
SANDIA FEDERAL #001F,HILCORP ENERGY COMPANY,12/28/2011,Active,30-045-35016,36.784687,-108.011795,154,Hilcorp - Sandia Federal 1F,36.784444,-108.011111,O&G-Well Head,31155,4695,2/3/2012,2/9/2012,3/6/2012,https://drive.google.com/file/d/1tz1mDQcANad03yBiLZw2KplQhfLAoxZY/view?usp=sharing,,,,,,Yes
FEDERAL C #001M,HILCORP ENERGY COMPANY,12/15/2011,Active,30-045-34825,36.778698,-108.0018387,142,Hilcorp - Federal C 1M,36.778611,-108.001111,O&G-Well Head,31156,4696,2/3/2012,2/9/2012,3/1/2012,https://drive.google.com/file/d/1WPllaA-su_mNc2-0ttX1Um-UgsgbifAI/view?usp=sharing,,,,,,Yes
W LYBROOK UNIT #701H,"ENDURING RESOURCES, LLC",2/7/2017,Active,30-045-35725,36.235517,-107.693157,5,"Enduring Resources - W Lybrook UT 701,702",36.235517,-107.693158,O&G-Production Facility,36213,6605,9/9/2015,9/14/2015,9/28/2015,https://drive.google.com/file/d/1Fis0IFJ9caywLHJ20jyx_pwD4FwgqfyC/view?usp=sharing,21,24.5,25.5,2.9,,No
W LYBROOK UNIT #702H,"ENDURING RESOURCES, LLC",2/9/2017,Active,30-045-35726,36.235459,-107.693273,5,"Enduring Resources - W Lybrook UT 701,702",36.235517,-107.693158,O&G-Production Facility,36213,6605,9/9/2015,9/14/2015,9/28/2015,https://drive.google.com/file/d/1Fis0IFJ9caywLHJ20jyx_pwD4FwgqfyC/view?usp=sharing,21,24.5,25.5,2.9,,No
MC 1 COM #282H,"ENDURING RESOURCES, LLC",1/7/2015,Active,30-045-35616,36.262267,-107.693545,19,Enduring Resources - Chaco 2308-04D No282H Well Site,36.262267,-107.693544,O&G-Production Facility,34424,5926,7/7/2014,7/9/2014,7/29/2014,https://drive.google.com/file/d/1ichX7EqgcJNeZMcbmbBEoLlzJwDnQINk/view?usp=sharing,16,24.3,82.5,24.3,,No
MC 1 COM #458H,"ENDURING RESOURCES, LLC",1/14/2015,Active,30-045-35615,36.262256,-107.693619,19,Enduring Resources - Chaco 2308-04D No282H Well Site,36.262267,-107.693544,O&G-Production Facility,34424,5926,7/7/2014,7/9/2014,7/29/2014,https://drive.google.com/file/d/1ichX7EqgcJNeZMcbmbBEoLlzJwDnQINk/view?usp=sharing,16,24.3,82.5,24.3,,No
MC 5 COM #119H,"ENDURING RESOURCES, LLC",11/19/2014,Active,30-045-35601,36.274541,-107.694878,7,"Enduring Resources Inc - MC 5 Com No112H, 113H, 906H, 119H Well Site",36.274581,-107.694819,O&G-Production Facility,34251,5875,6/6/2014,6/17/2014,6/25/2014,https://drive.google.com/file/d/1-gd8WMLufN7_cVLlZ3DGqoNxwpS-yxXL/view?usp=sharing,13.7,23.9,89.6,,,No
MC 5 COM #906H,"ENDURING RESOURCES, LLC",12/11/2014,Active,30-045-35606,36.274618,-107.694763,7,"Enduring Resources Inc - MC 5 Com No112H, 113H, 906H, 119H Well Site",36.274581,-107.694819,O&G-Production Facility,34251,5875,6/6/2014,6/17/2014,6/25/2014,https://drive.google.com/file/d/1-gd8WMLufN7_cVLlZ3DGqoNxwpS-yxXL/view?usp=sharing,13.7,23.9,89.6,,,No
MC 5 COM #112H,"ENDURING RESOURCES, LLC",12/9/2014,Active,30-045-35605,36.274579,-107.694821,7,"Enduring Resources Inc - MC 5 Com No112H, 113H, 906H, 119H Well Site",36.274581,-107.694819,O&G-Production Facility,34251,5875,6/6/2014,6/17/2014,6/25/2014,https://drive.google.com/file/d/1-gd8WMLufN7_cVLlZ3DGqoNxwpS-yxXL/view?usp=sharing,13.7,23.9,89.6,,,No
MC 5 COM #113H,"ENDURING RESOURCES, LLC",11/17/2014,Active,30-045-35602,36.27453337,-107.6947875,7,"Enduring Resources Inc - MC 5 Com No112H, 113H, 906H, 119H Well Site",36.274581,-107.694819,O&G-Production Facility,34251,5875,6/6/2014,6/17/2014,6/25/2014,https://drive.google.com/file/d/1-gd8WMLufN7_cVLlZ3DGqoNxwpS-yxXL/view?usp=sharing,13.7,23.9,89.6,,,No
NW LYBROOK UNIT #289H,"ENDURING RESOURCES, LLC",4/28/2014,Active,30-045-35529,36.2787476,-107.6411057,24,Enduring Resources -Chaco 2408-25M No237,36.27875,-107.641239,O&G-Production Facility,33693,5604,,4/4/2014,4/21/2014,https://drive.google.com/file/d/1a-zA_WJCJaf-JsTaJmo5gGt6CxRzY_Dg/view?usp=sharing,17.1,24.3,78.1,,,No
CHACO 2408 25M #237H,"ENDURING RESOURCES, LLC",5/5/2014,Active,30-045-35499,36.2787666,-107.6412506,24,Enduring Resources -Chaco 2408-25M No237,36.27875,-107.641239,O&G-Production Facility,33693,5604,,4/4/2014,4/21/2014,https://drive.google.com/file/d/1a-zA_WJCJaf-JsTaJmo5gGt6CxRzY_Dg/view?usp=sharing,17.1,24.3,78.1,,,No
NW LYBROOK UNIT #131H,"ENDURING RESOURCES, LLC",4/30/2014,Active,30-045-35507,36.2787552,-107.6411819,24,Enduring Resources -Chaco 2408-25M No237,36.27875,-107.641239,O&G-Production Facility,33693,5604,,4/4/2014,4/21/2014,https://drive.google.com/file/d/1a-zA_WJCJaf-JsTaJmo5gGt6CxRzY_Dg/view?usp=sharing,17.1,24.3,78.1,,,No
CHACO 2308 06I #397H,"ENDURING RESOURCES, LLC",3/21/2015,Active,30-045-35639,36.254643,-107.714914,27,Enduring Resources - Chaco 2308-061 No398H,36.254586,-107.714889,O&G-Production Facility,34892,6047,9/26/2014,9/29/2014,10/14/2014,https://drive.google.com/file/d/1MHrq9f3M5sVYGqClNwuLyJEar4iWET_t/view?usp=sharing,17.1,24.3,75.2,,,No
NW LYBROOK UNIT #143H,"ENDURING RESOURCES, LLC",9/21/2013,Active,30-045-35474,36.2656975,-107.6250381,3,"Enduring Resources -  NW Lybrook UT No143,132",36.265681,-107.625069,O&G-Production Facility,33013,5304,9/27/2013,10/1/2013,10/29/2013,https://drive.google.com/file/d/1LA2UtgPnNZRQe_d5rbNOwn_T52YjNLft/view?usp=sharing,12,22.3,62.8,,,Yes
W LYBROOK UNIT #744H,"ENDURING RESOURCES, LLC",12/8/2016,Active,30-045-35730,36.237635,-107.70851,17,"Enduring Resources - W. Lybrook UT Nos. 703, 704, 743, 744",36.237636,-107.709122,O&G-Production Facility,36461,6681,11/18/2015,11/23/2015,12/22/2015,https://drive.google.com/file/d/1fkkyn8ktyHuJOQxXi3iMbOZmAH992aXf/view?usp=sharing,16.7,24.6,87.6,,,No
W LYBROOK UNIT #743H,"ENDURING RESOURCES, LLC",12/7/2016,Active,30-045-35729,36.237654,-107.708988,17,"Enduring Resources - W. Lybrook UT Nos. 703, 704, 743, 744",36.237636,-107.709122,O&G-Production Facility,36461,6681,11/18/2015,11/23/2015,12/22/2015,https://drive.google.com/file/d/1fkkyn8ktyHuJOQxXi3iMbOZmAH992aXf/view?usp=sharing,16.7,24.6,87.6,,,No
W LYBROOK UNIT #713H,"ENDURING RESOURCES, LLC",12/14/2016,Active,30-045-35808,36.237674,-107.708855,17,"Enduring Resources - W. Lybrook UT Nos. 703, 704, 743, 744",36.237636,-107.709122,O&G-Production Facility,36461,6681,11/18/2015,11/23/2015,12/22/2015,https://drive.google.com/file/d/1fkkyn8ktyHuJOQxXi3iMbOZmAH992aXf/view?usp=sharing,16.7,24.6,87.6,,,No
W LYBROOK UNIT #711H,"ENDURING RESOURCES, LLC",12/15/2016,Active,30-045-35809,36.237645,-107.709055,17,"Enduring Resources - W. Lybrook UT Nos. 703, 704, 743, 744",36.237636,-107.709122,O&G-Production Facility,36461,6681,11/18/2015,11/23/2015,12/22/2015,https://drive.google.com/file/d/1fkkyn8ktyHuJOQxXi3iMbOZmAH992aXf/view?usp=sharing,16.7,24.6,87.6,,,No
W LYBROOK UNIT #704H,"ENDURING RESOURCES, LLC",12/9/2016,Active,30-045-35728,36.237625,-107.709189,17,"Enduring Resources - W. Lybrook UT Nos. 703, 704, 743, 744",36.237636,-107.709122,O&G-Production Facility,36461,6681,11/18/2015,11/23/2015,12/22/2015,https://drive.google.com/file/d/1fkkyn8ktyHuJOQxXi3iMbOZmAH992aXf/view?usp=sharing,16.7,24.6,87.6,,,No
W LYBROOK UNIT #703H,"ENDURING RESOURCES, LLC",12/6/2016,Active,30-045-35727,36.237664,-107.708922,17,"Enduring Resources - W. Lybrook UT Nos. 703, 704, 743, 744",36.237636,-107.709122,O&G-Production Facility,36461,6681,11/18/2015,11/23/2015,12/22/2015,https://drive.google.com/file/d/1fkkyn8ktyHuJOQxXi3iMbOZmAH992aXf/view?usp=sharing,16.7,24.6,87.6,,,No
MC 4 COM #285H,"ENDURING RESOURCES, LLC",3/10/2015,Active,30-045-35643,36.24813,-107.696892,20,WPX - Warner Caldwell No 1A,36.248072,-107.696878,O&G-Tank Battery/Bulk Fuel Storage,35260,6156,12/11/2014,12/22/2014,12/30/2014,https://drive.google.com/file/d/1zN_-KqT0LeaqDFojutPVMyizE7sQ78o-/view?usp=sharing,,,,,,No
MC 3 COM #284H,"ENDURING RESOURCES, LLC",2/9/2015,Active,30-045-35607,36.25574206,-107.6946958,6,Enduring Resources - Chaco 2308-04L No283H,36.255708,-107.694603,O&G-Production Facility,34577,5955,7/25/2014,8/5/2014,9/4/2014,https://drive.google.com/file/d/1Nsah2kqrYGL4OKSFSv-E0win1r6XrxC0/view?usp=sharing,17.9,23.5,88.5,,,No
MC 4 COM #459H,"ENDURING RESOURCES, LLC",2/3/2015,Active,30-045-35627,36.255712,-107.694529,6,Enduring Resources - Chaco 2308-04L No283H,36.255708,-107.694603,O&G-Production Facility,34577,5955,7/25/2014,8/5/2014,9/4/2014,https://drive.google.com/file/d/1Nsah2kqrYGL4OKSFSv-E0win1r6XrxC0/view?usp=sharing,17.9,23.5,88.5,,,No
